,Titulo,Texto,textoPLN,tf-idf
  (8, 3)	1.0"
5,Tortilla con Ajo y Perejil _ Receta de Cocina en Familia.txt,la receta qué van a hacer hoy es una rica tortilla con ajo y perejil y veré yo tengo aquí lo siguiente ingredientes tengo 4 huevos tamaño grande hoja de perejil tan lavada y preparada para utilizar aquí como unos 25 gramos de hojas de perejil luego tengo una cucharadita de ajo molido una cucharada de pan rallado pimienta blanca y aceite suave 04 empiezo el perejil en trozos pequeños el que se puede cortar el cable y también se puede hacer así doblando la hoja asignación montón y con la tijera por salud para que quiere Oye tengo el perejil partido y estoy poniendo los huevos en un juego le pongo la sal y barato los huevos juntos Clara y m hasta que ser fuerte te encuentras incorporó la vivienda y no se desean Cómo se le pone pero al pan rallado va a morir Porque compré otra vez tura y el ajo molido le da bastante sábado incorpora se vale todo y ya así conforme nos vamos directamente al fuego para coger y hacer la tortilla Como si fuera una tortilla a la francesa así de fácil y de sencillo estoy poniendo aceite en una sartén no es necesario pone mucho así que fundó para que no quede muertitos a esto es conveniente siempre que está en la sartén caliente y se tiene una sartén para hacer las tortillas mucho mejor y así no sé no agarra pongo la mezcla de perejil y huevo y de mes solo las hacen así y se deja a fuego bajo para que se vaya haciendo y se puede hacer redonda en mi caso quiero doblarla y hace la alargadera,"['recet', 'van', 'hac', 'hoy', 'ric', 'tortill', 'ajo', 'perejil', 'ver', 'aqu', 'siguient', 'ingredient', '4', 'huev', 'tamañ', 'grand', 'hoj', 'perejil', 'tan', 'lav', 'prepar', 'utiliz', 'aqu', '25', 'gram', 'hoj', 'perejil', 'lueg', 'cucharadit', 'ajo', 'mol', 'cuchar', 'pan', 'rall', 'pimient', 'blanc', 'aceit', 'suav', '04', 'empiez', 'perejil', 'troz', 'pequeñ', 'pued', 'cort', 'cabl', 'pued', 'hac', 'asi', 'dobl', 'hoj', 'asign', 'monton', 'tijer', 'salud', 'quier', 'oye', 'perejil', 'part', 'pon', 'huev', 'jueg', 'pong', 'sal', 'barat', 'huev', 'junt', 'clar', 'm', 'ser', 'fuert', 'encuentr', 'incorpor', 'viviend', 'des', 'com', 'pon', 'pan', 'rall', 'va', 'mor', 'compr', 'vez', 'tur', 'ajo', 'mol', 'da', 'bastant', 'sab', 'incorpor', 'val', 'asi', 'conform', 'vam', 'direct', 'fueg', 'cog', 'hac', 'tortill', 'si', 'tortill', 'frances', 'asi', 'facil', 'sencill', 'pon', 'aceit', 'sarten', 'necesari', 'pon', 'asi', 'fund', 'qued', 'muertit', 'convenient', 'siempr', 'sarten', 'calient', 'sarten', 'hac', 'tortill', 'mejor', 'asi', 'se', 'agarr', 'pong', 'mezcl', 'perejil', 'huev', 'mes', 'sol', 'hac', 'asi', 'dej', 'fueg', 'baj', 'vay', 'hac', 'pued', 'hac', 'redond', 'cas', 'quier', 'dobl', 'hac', 'alargader']","  (2, 2)	1.0
  (5, 9)	1.0
  (6, 0)	1.0
  (7, 5)	1.0
  (13, 4)	1.0
  (16, 3)	1.0
  (17, 5)	1.0
  (25, 3)	1.0
  (26, 5)	1.0
  (29, 0)	1.0
  (40, 5)	1.0
  (43, 7)	1.0
  (46, 7)	1.0
  (47, 2)	1.0
  (48, 1)	1.0
  (50, 3)	1.0
  (57, 5)	1.0
  (59, 6)	1.0
  (60, 4)	1.0
  (65, 4)	1.0
  (76, 6)	1.0
  (84, 0)	1.0
  (91, 1)	1.0
  (97, 2)	1.0
  (98, 9)	1.0
  (100, 9)	1.0
  (102, 1)	1.0
  (105, 6)	1.0
  (107, 8)	1.0
  (109, 6)	1.0
  (110, 1)	1.0
  (116, 8)	1.0
  (118, 8)	1.0
  (119, 2)	1.0
  (120, 9)	1.0
  (122, 1)	1.0
  (127, 5)	1.0
  (128, 4)	1.0
  (131, 2)	1.0
  (132, 1)	1.0
  (137, 2)	1.0
  (138, 7)	1.0
  (139, 2)	1.0
  (144, 2)	1.0"
6,Tartaletas Caprichosas con Huevo de Codorniz _ Receta de Cocina en Familia.txt,la receta de una rica salsa letra caprichosa con huevo de codorniz y nadie lo ingrediente facilísimo y rápido Rápido puede servir como entrada o con un segundo para ir al primo aquí lo siguiente ingredientes tengo aquí un formato grande grande grande notificaciones,"['recet', 'ric', 'sals', 'letr', 'caprich', 'huev', 'codorniz', 'nadi', 'ingredient', 'facilisim', 'rap', 'rap', 'pued', 'serv', 'entrad', 'segund', 'ir', 'prim', 'aqu', 'siguient', 'ingredient', 'aqu', 'format', 'grand', 'grand', 'grand', 'notif']","  (0, 16)	1.0
  (1, 17)	1.0
  (2, 18)	1.0
  (3, 10)	1.0
  (4, 1)	1.0
  (5, 7)	1.0
  (6, 2)	1.0
  (7, 11)	1.0
  (8, 8)	1.0
  (9, 4)	1.0
  (10, 15)	1.0
  (11, 15)	1.0
  (12, 14)	1.0
  (13, 20)	1.0
  (14, 3)	1.0
  (15, 19)	1.0
  (16, 9)	1.0
  (17, 13)	1.0
  (18, 0)	1.0
  (19, 21)	1.0
  (20, 8)	1.0
  (21, 0)	1.0
  (22, 5)	1.0
  (23, 6)	1.0
  (24, 6)	1.0
  (25, 6)	1.0
  (26, 12)	1.0"
7,Revuelto de Morcilla _ Receta de Cocina en Familia.txt,reciente que va hacer hoy es un rico revuelto de morcilla y para yo tengo aquí los siguientes ingredientes tengo dos morcilla hermosa que pesa 300 G entre las dos utilizar el pimiento rojo y verde que tengo en 150 g 150 g de tomates partido en trozos pequeños suscríbete para recibir las notificaciones,"['recient', 'va', 'hac', 'hoy', 'ric', 'revuelt', 'morcill', 'aqu', 'siguient', 'ingredient', 'dos', 'morcill', 'hermos', 'pes', '300', 'g', 'dos', 'utiliz', 'pimient', 'roj', 'verd', '150', 'g', '150', 'g', 'tomat', 'part', 'troz', 'pequeñ', 'suscribet', 'recib', 'notif']","  (0, 15)	1.0
  (1, 24)	1.0
  (2, 4)	1.0
  (3, 6)	1.0
  (4, 17)	1.0
  (5, 16)	1.0
  (6, 8)	1.0
  (7, 2)	1.0
  (8, 19)	1.0
  (9, 7)	1.0
  (10, 3)	1.0
  (11, 8)	1.0
  (12, 5)	1.0
  (13, 12)	1.0
  (14, 1)	1.0
  (16, 3)	1.0
  (17, 23)	1.0
  (18, 13)	1.0
  (19, 18)	1.0
  (20, 25)	1.0
  (21, 0)	1.0
  (23, 0)	1.0
  (25, 21)	1.0
  (26, 10)	1.0
  (27, 22)	1.0
  (28, 11)	1.0
  (29, 20)	1.0
  (30, 14)	1.0
  (31, 9)	1.0"
8,Setas Rellenas de Jamón York y Queso _ Receta de Cocina en Familia.txt,la receta que vamos a hacer una rica galleta rellena de jamón y queso y para ello tengo aquí la siguiente ingredientes tengo 300 G de setas Cómo se fueron en pareja para que ya logró con la relleno se queden bien una con otra tengo jamón de lonchas queso semicurado en Launcher sal aceite para freír parecer oliva o girasol que se dice harina 2 huevos unos palillos y pan rallado Esos son todos los ingredientes que voy ahorita está Rica el aparato ingrediente empiezo a preparar la cena notificaciones,"['recet', 'vam', 'hac', 'ric', 'gallet', 'rellen', 'jamon', 'ques', 'ello', 'aqu', 'siguient', 'ingredient', '300', 'g', 'set', 'com', 'parej', 'logr', 'rellen', 'qued', 'bien', 'jamon', 'lonch', 'ques', 'semicur', 'launch', 'sal', 'aceit', 'freir', 'parec', 'oliv', 'girasol', 'dic', 'harin', '2', 'huev', 'palill', 'pan', 'rall', 'ingredient', 'voy', 'ahorit', 'ric', 'aparat', 'ingredient', 'empiez', 'prepar', 'cen', 'notif']","  (0, 32)	1.0
  (1, 39)	1.0
  (2, 14)	1.0
  (3, 34)	1.0
  (4, 12)	1.0
  (5, 33)	1.0
  (6, 18)	1.0
  (7, 30)	1.0
  (8, 9)	1.0
  (9, 4)	1.0
  (10, 38)	1.0
  (11, 17)	1.0
  (12, 0)	1.0
  (14, 37)	1.0
  (15, 7)	1.0
  (16, 27)	1.0
  (17, 20)	1.0
  (18, 33)	1.0
  (19, 29)	1.0
  (20, 5)	1.0
  (21, 18)	1.0
  (22, 21)	1.0
  (23, 30)	1.0
  (24, 36)	1.0
  (25, 19)	1.0
  (26, 35)	1.0
  (27, 1)	1.0
  (28, 11)	1.0
  (29, 26)	1.0
  (30, 23)	1.0
  (31, 13)	1.0
  (32, 8)	1.0
  (33, 15)	1.0
  (35, 16)	1.0
  (36, 24)	1.0
  (37, 25)	1.0
  (38, 31)	1.0
  (39, 17)	1.0
  (40, 40)	1.0
  (41, 2)	1.0
  (42, 34)	1.0
  (43, 3)	1.0
  (44, 17)	1.0
  (45, 10)	1.0
  (46, 28)	1.0
  (47, 6)	1.0
  (48, 22)	1.0"
9,Gambones al Cava _ Receta de Cocina en Familia.txt,qué van a hacer hoy es una receta fácil son unos ricos camarones ingredientes suscríbete para recibir las notificaciones,"['van', 'hac', 'hoy', 'recet', 'facil', 'ric', 'camaron', 'ingredient', 'suscribet', 'recib', 'notif']","  (0, 10)	1.0
  (1, 2)	1.0
  (2, 3)	1.0
  (3, 6)	1.0
  (4, 1)	1.0
  (5, 8)	1.0
  (6, 0)	1.0
  (7, 4)	1.0
  (8, 9)	1.0
  (9, 7)	1.0
  (10, 5)	1.0"
10,Paté de Aceitunas Negras _ Receta de Cocina en Familia.txt,r7 qué va hacer hoy en rico para ti de aceitunas negras y para ellos entienden solo en los supermercados mercadillo el Olivera vas a quedar más 300 gramos de aceitunas negras se pueden hacer de una cucharada de sal notificaciones,"['r7', 'va', 'hac', 'hoy', 'ric', 'aceitun', 'negr', 'entiend', 'sol', 'supermerc', 'mercadill', 'oliver', 'vas', 'qued', '300', 'gram', 'aceitun', 'negr', 'pued', 'hac', 'cuchar', 'sal', 'notif']","  (0, 13)	1.0
  (1, 18)	1.0
  (2, 5)	1.0
  (3, 6)	1.0
  (4, 14)	1.0
  (5, 1)	1.0
  (6, 8)	1.0
  (7, 3)	1.0
  (8, 16)	1.0
  (9, 17)	1.0
  (10, 7)	1.0
  (11, 10)	1.0
  (12, 19)	1.0
  (13, 12)	1.0
  (14, 0)	1.0
  (15, 4)	1.0
  (16, 1)	1.0
  (17, 8)	1.0
  (18, 11)	1.0
  (19, 5)	1.0
  (20, 2)	1.0
  (21, 15)	1.0
  (22, 9)	1.0"
11,Sobrasada Vegana Jam _ Receta de Cocina en Familia.txt,Hola Marce una rejilla Qué es una sobrasada vegana y en una receta que me ha dado ni de ti no Entonces gredientes para hacer esa rica sobrasada vegana 150 gramos de tomate seco que lo tenés 12 horas en agua hidrata más el agua Si se desea se puede utilizar para ponérsela a un arroz que se puede utilizar 50 gramos de almendras o bien frita pero si un diente de ajo dos cucharadas de pimentón de la vera una hoja de Prezi a comino puede ser en grano o molido y blanco molido molido y 110 G de aceite Virgen de oliva y una pizca de sal y otra que no sea más fácil,"['hol', 'marc', 'rejill', 'sobras', 'vegan', 'recet', 'dad', 'entonc', 'gredient', 'hac', 'ric', 'sobras', 'vegan', '150', 'gram', 'tomat', 'sec', 'tenes', '12', 'hor', 'agu', 'hidrat', 'agu', 'si', 'dese', 'pued', 'utiliz', 'pon', 'arroz', 'pued', 'utiliz', '50', 'gram', 'almendr', 'bien', 'frit', 'si', 'dient', 'ajo', 'dos', 'cuchar', 'pimenton', 'ver', 'hoj', 'prezi', 'comin', 'pued', 'ser', 'gran', 'mol', 'blanc', 'mol', 'mol', '110', 'g', 'aceit', 'virg', 'oliv', 'pizc', 'sal', 'facil']","  (3, 5)	1.0
  (4, 7)	1.0
  (11, 5)	1.0
  (12, 7)	1.0
  (14, 1)	1.0
  (20, 0)	1.0
  (22, 0)	1.0
  (23, 4)	1.0
  (25, 3)	1.0
  (26, 6)	1.0
  (29, 3)	1.0
  (30, 6)	1.0
  (32, 1)	1.0
  (36, 4)	1.0
  (46, 3)	1.0
  (49, 2)	1.0
  (51, 2)	1.0
  (52, 2)	1.0"
12,Tortilla de guisantes _ Receta de Cocina en Familia.txt,en el orden ascendente,"['orden', 'ascendent']","  (0, 1)	1.0
  (1, 0)	1.0"
13,Hojaldre de ESPÁRRAGOS y queso.txt,hola chicos aquí tengo medio kilo de espárragos trigueros que lava y estarás corriendo mira lo vamos a partir una cosa muy fácil cogemos de las dos juntas y por dónde parten y toda la parte que nos va a ser bien y está a Carlitos ya tengo el horno precalentado a 200° a mí me bajo ahora mismo cucharita vamos a tener pero vamos a trabajar en la zona agujereada demostré que para que me sea más fácil porque las mías son redondas para poder poner las venas tienen que me quedan claras y estás ya entera os queda como un rey o reina hemos ido vamos a poner una pista estado otra de pimienta pero íbamos a apuntar muy bien ahora con el huevo los bordes estos que nos quedaron libres y como estos que son un poquito más ahora para terminar vamos a rallar aunque estoy todo fuerte porque unas son bus por encima esto es grana padano y el remate final unas almendritas después que se ponen en los carteles vamos a poner por aquí me lo llevo al horno que ya está bien calentito 15 minutos Cenicienta fenomenal y espero con usted tanto,"['hol', 'chic', 'aqu', 'medi', 'kil', 'esparrag', 'triguer', 'lav', 'corr', 'mir', 'vam', 'part', 'cos', 'facil', 'cog', 'dos', 'junt', 'dond', 'part', 'tod', 'part', 'va', 'ser', 'bien', 'carlit', 'horn', 'precalent', '200', 'baj', 'ahor', 'mism', 'cucharit', 'vam', 'ten', 'vam', 'trabaj', 'zon', 'agujer', 'demostr', 'facil', 'redond', 'pod', 'pon', 'ven', 'qued', 'clar', 'enter', 'qued', 'rey', 'rein', 'ido', 'vam', 'pon', 'pist', 'pimient', 'ibam', 'apunt', 'bien', 'ahor', 'huev', 'bord', 'qued', 'libr', 'poquit', 'ahor', 'termin', 'vam', 'rall', 'aunqu', 'fuert', 'unas', 'bus', 'encim', 'gran', 'padan', 'remat', 'final', 'unas', 'almendrit', 'despues', 'pon', 'cartel', 'vam', 'pon', 'aqu', 'llev', 'horn', 'bien', 'calentit', '15', 'minut', 'cenicient', 'fenomenal', 'esper', 'usted']","  (2, 1)	1.0
  (10, 9)	1.0
  (11, 5)	1.0
  (13, 3)	1.0
  (18, 5)	1.0
  (20, 5)	1.0
  (23, 2)	1.0
  (25, 4)	1.0
  (29, 0)	1.0
  (32, 9)	1.0
  (34, 9)	1.0
  (39, 3)	1.0
  (42, 6)	1.0
  (44, 7)	1.0
  (47, 7)	1.0
  (51, 9)	1.0
  (52, 6)	1.0
  (57, 2)	1.0
  (58, 0)	1.0
  (61, 7)	1.0
  (64, 0)	1.0
  (66, 9)	1.0
  (70, 8)	1.0
  (77, 8)	1.0
  (80, 6)	1.0
  (82, 9)	1.0
  (83, 6)	1.0
  (84, 1)	1.0
  (86, 4)	1.0
  (87, 2)	1.0"
14,Ligera Tortilla de Patatas Cocidas _ Receta de Cocina en Familia.txt,ya no sé qué van a hacer hoy es una ligera tortilla de patata cocida y para ello tengo aquí los siguientes ingredientes tengo 800 G de patatas ya peladas 50 G de queso molido agua para cocer las patatas aceite simplemente una ligera y rica y sabrosa tortillas empiezo a laborar notificaciones,"['se', 'van', 'hac', 'hoy', 'liger', 'tortill', 'patat', 'coc', 'ello', 'aqu', 'siguient', 'ingredient', '800', 'g', 'patat', 'pel', '50', 'g', 'ques', 'mol', 'agu', 'coc', 'patat', 'aceit', 'simplement', 'liger', 'ric', 'sabros', 'tortill', 'empiez', 'labor', 'notif']","  (0, 20)	1.0
  (1, 24)	1.0
  (2, 8)	1.0
  (3, 9)	1.0
  (4, 12)	1.0
  (5, 23)	1.0
  (6, 15)	1.0
  (7, 5)	1.0
  (8, 6)	1.0
  (9, 4)	1.0
  (10, 21)	1.0
  (11, 10)	1.0
  (12, 1)	1.0
  (14, 15)	1.0
  (15, 16)	1.0
  (16, 0)	1.0
  (18, 17)	1.0
  (19, 13)	1.0
  (20, 3)	1.0
  (21, 5)	1.0
  (22, 15)	1.0
  (23, 2)	1.0
  (24, 22)	1.0
  (25, 12)	1.0
  (26, 18)	1.0
  (27, 19)	1.0
  (28, 23)	1.0
  (29, 7)	1.0
  (30, 11)	1.0
  (31, 14)	1.0"
15,Huevos al Plato con Guisantes y Jamón _ Receta de Cocina en Familia.txt,Siri Quiero compartir con todos vosotros hoy Son unos ricos huevos al plato con los siguientes ingredientes 125 pequeña notificaciones,"['siri', 'quier', 'compart', 'hoy', 'ric', 'huev', 'plat', 'siguient', 'ingredient', '125', 'pequeñ', 'notif']","  (0, 11)	1.0
  (1, 8)	1.0
  (2, 1)	1.0
  (3, 2)	1.0
  (4, 9)	1.0
  (5, 3)	1.0
  (6, 7)	1.0
  (7, 10)	1.0
  (8, 4)	1.0
  (9, 0)	1.0
  (10, 6)	1.0
  (11, 5)	1.0"
16,Sandwich de Queso fundido _ Receta de Cocina en Familia.txt,la reciente Qué vamos a hacer hoy es un rico sándwich de queso fundido y para ello tengo siguiente ingredientes y tengo mensajes suscríbete para recibir las notificaciones,"['recient', 'vam', 'hac', 'hoy', 'ric', 'sandwich', 'ques', 'fund', 'ello', 'siguient', 'ingredient', 'mensaj', 'suscribet', 'recib', 'notif']","  (0, 9)	1.0
  (1, 14)	1.0
  (2, 2)	1.0
  (3, 3)	1.0
  (4, 10)	1.0
  (5, 11)	1.0
  (6, 7)	1.0
  (7, 1)	1.0
  (8, 0)	1.0
  (9, 12)	1.0
  (10, 4)	1.0
  (11, 5)	1.0
  (12, 13)	1.0
  (13, 8)	1.0
  (14, 6)	1.0"
17,CARPACCIO de CALABACÍN 🥒.txt,buenas noches la receta de hoy es como de 10 minutos venga va 11 y lleva aceite y limón regalo pimienta sal variado almendra crocanti parmesano unas necesitas y por supuesto un calabacín lavadito ya vale vamos haciendo rodajitas de mi del calabacín el tiempo Linza un poquito de orégano y de Iron Man un poquito con la mano y está un poco duras estos se lo está explicando mi profe de pádel esta tarde que le he dicho que era muy pesado muy rápido y muy bonito muy resultón esto vale para lo que queráis pero dice mola que se hace en dos patadas y ahora un poco de crocanti de almendra un poco por accidente porque le tenía para algo dulce y me tiene ningún fruto seco y la verdad que luego fenomenales y yo te lo del ojo así ves valiendo ahora escamas de parmesano o del queso que os guste que no tenéis parmesano pues queso rallado cuatro quesos pero es que eso lo que os apetezca y ya está se acabó un poquito más de aceite virgen extra así por aquí a que mola como veis la taza ahora para el veranito fresquito y para los que tenéis que ir a la playa y ni Maltais tableta pues va a venir toda la razón,"['buen', 'noch', 'recet', 'hoy', '10', 'minut', 'veng', 'va', '11', 'llev', 'aceit', 'limon', 'regal', 'pimient', 'sal', 'vari', 'almendr', 'crocanti', 'parmesan', 'unas', 'necesit', 'supuest', 'calabacin', 'lavadit', 'val', 'vam', 'hac', 'rodajit', 'calabacin', 'tiemp', 'linz', 'poquit', 'oregan', 'iron', 'man', 'poquit', 'man', 'dur', 'explic', 'prof', 'padel', 'tard', 'dich', 'pes', 'rap', 'bonit', 'resulton', 'val', 'quer', 'dic', 'mol', 'hac', 'dos', 'pat', 'ahor', 'crocanti', 'almendr', 'accident', 'dulc', 'ningun', 'frut', 'sec', 'verd', 'lueg', 'fenomenal', 'ojo', 'asi', 'ves', 'val', 'ahor', 'escam', 'parmesan', 'ques', 'gust', 'parmesan', 'pues', 'ques', 'rall', 'cuatr', 'ques', 'apetezc', 'acab', 'poquit', 'aceit', 'virg', 'extra', 'asi', 'aqu', 'mol', 'veis', 'taz', 'ahor', 'veranit', 'fresquit', 'ir', 'play', 'maltais', 'tablet', 'pues', 'va', 'ven', 'tod', 'razon']","  (18, 1)	1.0
  (24, 4)	1.0
  (31, 2)	1.0
  (35, 2)	1.0
  (47, 4)	1.0
  (54, 0)	1.0
  (68, 4)	1.0
  (69, 0)	1.0
  (71, 1)	1.0
  (72, 3)	1.0
  (74, 1)	1.0
  (76, 3)	1.0
  (79, 3)	1.0
  (82, 2)	1.0
  (91, 0)	1.0"
18,Canapés de Marisco _ Receta de Cocina en Familia.txt,Oigan hacer una receta fácil para hacer de marisco tengo aquí dos laticas pequeña de gatuno 160 G más o menos unos 250 de palitos de madera y un bote pequeño de mayonesa de 225 154 y eso para poner en presentación para que se vea como empezamos,"['oig', 'hac', 'recet', 'facil', 'hac', 'marisc', 'aqu', 'dos', 'latic', 'pequeñ', 'gatun', '160', 'g', 'men', '250', 'palit', 'mader', 'bot', 'pequeñ', 'mayones', '225', '154', 'pon', 'present', 'vea', 'empez']","  (0, 16)	1.0
  (1, 10)	1.0
  (2, 21)	1.0
  (3, 8)	1.0
  (4, 10)	1.0
  (5, 13)	1.0
  (6, 4)	1.0
  (7, 6)	1.0
  (8, 11)	1.0
  (9, 18)	1.0
  (10, 9)	1.0
  (11, 1)	1.0
  (13, 15)	1.0
  (14, 3)	1.0
  (15, 17)	1.0
  (16, 12)	1.0
  (17, 5)	1.0
  (18, 18)	1.0
  (19, 14)	1.0
  (20, 2)	1.0
  (21, 0)	1.0
  (22, 19)	1.0
  (23, 20)	1.0
  (24, 22)	1.0
  (25, 7)	1.0"
