,Titulo,Texto,textoPLN,tf-idf
  (2, 4)	1.0
  (3, 1)	1.0
  (4, 3)	1.0
  (9, 2)	1.0
  (14, 3)	1.0
  (19, 2)	1.0
  (20, 5)	1.0
  (21, 4)	1.0
  (33, 4)	1.0
  (38, 3)	1.0
  (44, 1)	1.0
  (51, 2)	1.0
  (52, 5)	1.0
  (60, 1)	1.0
  (61, 2)	1.0
  (69, 0)	1.0
  (72, 3)	1.0
  (76, 4)	1.0
  (79, 4)	1.0
  (86, 5)	1.0
  (87, 4)	1.0
  (100, 0)	1.0
  (104, 5)	1.0
  :	:
  (129, 4)	1.0
  (134, 5)	1.0
  (135, 4)	1.0
  (144, 1)	1.0
  (145, 0)	1.0
  (146, 5)	1.0
  (156, 1)	1.0
  (164, 0)	1.0
  (166, 5)	1.0
  (167, 4)	1.0
  (169, 3)	1.0
  (182, 0)	1.0
  (188, 3)	1.0
  (191, 4)	1.0
  (201, 0)	1.0
  (208, 1)	1.0
  (211, 0)	1.0
  (219, 4)	1.0
  (231, 1)	1.0
  (232, 2)	1.0
  (237, 4)	1.0
  (242, 0)	1.0
  (244, 5)	1.0
  (247, 2)	1.0
  (257, 5)	1.0"
2,ARROZ BASMATI.🍚👍 RECETA BÁSICA Y FÁCIL🍚👍.txt,preparar arroz basmati es un arroz especial de grano largo y muy aromático y para ello Necesito un vasito de arroz dos vasitos de agua un poquito de sal y una cucharada sopera de aceite lo primero que vamos a hacer es lavar el arroz con agua fría y ahora lo vamos a escurrir muy bien para continuar la preparación hemos puesto una cucharada de a el té en la cazuela y ahora le vamos a yadir el arroz que habíamos lavado y lo vamos a remover y ahora le voy a los vasitos ahora vamos a esperar que empiece a hervir para añadirle una pizca de sal y empezar a contar el tiempo hasta que hierva removemos un poco porque sino se nos puede dejar el arroz al fondo de la cazuela ya está hirviendo el agua Así que le añadimos un poquito de sal bajamos el fuego al mínimo y ahora ya sin tocar el arroz Le ponemos el café y lo vamos a dejar 11 minutos ya en transcurrido los 11 minutos y raíz cómo está cocido suelto Así que ahora ya lo retiramos apagamos el fuego y presentamos como más nos guste y acompañamiento de primer plato como queráis,"['prepar', 'arroz', 'basmati', 'arroz', 'especial', 'gran', 'larg', 'aromat', 'ello', 'necesit', 'vasit', 'arroz', 'dos', 'vasit', 'agu', 'poquit', 'sal', 'cuchar', 'soper', 'aceit', 'primer', 'vam', 'hac', 'lav', 'arroz', 'agu', 'fri', 'ahor', 'vam', 'escurr', 'bien', 'continu', 'prepar', 'puest', 'cuchar', 'te', 'cazuel', 'ahor', 'vam', 'yad', 'arroz', 'lav', 'vam', 'remov', 'ahor', 'voy', 'vasit', 'ahor', 'vam', 'esper', 'empiec', 'herv', 'añad', 'pizc', 'sal', 'empez', 'cont', 'tiemp', 'hierv', 'remov', 'sin', 'pued', 'dej', 'arroz', 'fond', 'cazuel', 'hirv', 'agu', 'asi', 'añad', 'poquit', 'sal', 'baj', 'fueg', 'minim', 'ahor', 'toc', 'arroz', 'pon', 'caf', 'vam', 'dej', '11', 'minut', 'transcurr', '11', 'minut', 'raiz', 'com', 'coc', 'suelt', 'asi', 'ahor', 'retir', 'apag', 'fueg', 'present', 'gust', 'acompañ', 'prim', 'plat', 'quer']","  (1, 2)	1.0
  (3, 2)	1.0
  (10, 5)	1.0
  (11, 2)	1.0
  (13, 5)	1.0
  (14, 0)	1.0
  (16, 3)	1.0
  (21, 4)	1.0
  (24, 2)	1.0
  (25, 0)	1.0
  (27, 1)	1.0
  (28, 4)	1.0
  (37, 1)	1.0
  (38, 4)	1.0
  (40, 2)	1.0
  (42, 4)	1.0
  (44, 1)	1.0
  (46, 5)	1.0
  (47, 1)	1.0
  (48, 4)	1.0
  (54, 3)	1.0
  (63, 2)	1.0
  (67, 0)	1.0
  (71, 3)	1.0
  (75, 1)	1.0
  (77, 2)	1.0
  (80, 4)	1.0
  (92, 1)	1.0"
3,SOPA DE MELÓN 🍈🍗CON CRUJIENTE DE JAMÓN. Muy muy fácil y deliciosa.txt,hoy voy a preparar un plato muy refrescante veraniego es sopa de melón o bien lo podemos tomar en forma de chupito chupito de melón para yo tengo aquí medio melón pimienta molida nuez moscada Nata también puede ser yogur y os apetece que tengo un puntito más de acidez aceite de oliva sal y unos filetes de jamón que vamos a secar en el microondas para formar crujiente de jamón para preparar el crujiente de jamón ponemos las lonchas de jamón en un plato sobre papel de cocina lo tapamos así porque sino en el microondas va a saltar mucho aceite y ahora lo temósachi al microondas un minuto después de un minuto en el microondas ya ves cómo se hace calor jamón y ahora en cuanto se enfríen pues esto lo romperemos porque queda crujiente que era todo crujiente se trocea muy bien pero vamos a esperar a que este frío y las luchas Pues en un poco recias necesitarían algunos segundos más El caso es que se nos quede bien seco y crujiente lo primero que hemos hecho con el melón es quitarle las semillas las pepitas y ahora con un saca bolitas por lo primero que voy a hacer es sacar unas bolitas para luego decorar la reservaremos suficientes y ahora con este resto de melón le voy a quitar la piel y lo voy a trocear hemos pelado y troceado el melón ahora le vamos a salir sal espolvoreamos también pimienta molida y rayamos un poco de nuez moscada vamos a triturar el melón una vez triturado el melón le damos Añadir un poco de nata probaremos a ver si le falta sal si nos apetece un poquito más de pimienta eso ya ahora ya al gusto de cada uno y lo reservaremos en la nevera como mínimo un par de horas para que esté bien fresquito si querés que la cremita skere todavía más fina la podemos pasar a través de un colador Entonces nos quedara sin ninguna y brita de la carne del Melón finita finita pero eso ya según nos gusten y aquí presentamos dos vasitos de sopa o crema de melón con el crujiente de jamón por encima un hilito de aceite de oliva y una Banderilla de melón y un poquito de filete de jamón,"['hoy', 'voy', 'prepar', 'plat', 'refresc', 'veranieg', 'sop', 'melon', 'bien', 'pod', 'tom', 'form', 'chupit', 'chupit', 'melon', 'aqu', 'medi', 'melon', 'pimient', 'mol', 'nuez', 'mosc', 'nat', 'pued', 'ser', 'yogur', 'apetec', 'puntit', 'acidez', 'aceit', 'oliv', 'sal', 'filet', 'jamon', 'vam', 'sec', 'microond', 'form', 'crujient', 'jamon', 'prepar', 'crujient', 'jamon', 'pon', 'lonch', 'jamon', 'plat', 'papel', 'cocin', 'tap', 'asi', 'sin', 'microond', 'va', 'salt', 'aceit', 'ahor', 'temosachi', 'microond', 'minut', 'despues', 'minut', 'microond', 'ves', 'com', 'hac', 'calor', 'jamon', 'ahor', 'cuant', 'enfri', 'pues', 'romp', 'qued', 'crujient', 'crujient', 'troce', 'bien', 'vam', 'esper', 'fri', 'luch', 'pues', 'reci', 'necesit', 'segund', 'cas', 'qued', 'bien', 'sec', 'crujient', 'primer', 'hech', 'melon', 'quit', 'semill', 'pepit', 'ahor', 'sac', 'bolit', 'primer', 'voy', 'hac', 'sac', 'unas', 'bolit', 'lueg', 'decor', 'reserv', 'suficient', 'ahor', 'rest', 'melon', 'voy', 'quit', 'piel', 'voy', 'troc', 'pel', 'troc', 'melon', 'ahor', 'vam', 'sal', 'sal', 'espolvor', 'pimient', 'mol', 'ray', 'nuez', 'mosc', 'vam', 'tritur', 'melon', 'vez', 'tritur', 'melon', 'dam', 'añad', 'nat', 'prob', 'ver', 'si', 'falt', 'sal', 'si', 'apetec', 'poquit', 'pimient', 'ahor', 'gust', 'cad', 'reserv', 'never', 'minim', 'par', 'hor', 'bien', 'fresquit', 'si', 'queres', 'cremit', 'sker', 'todav', 'fin', 'pod', 'pas', 'traves', 'colador', 'entonc', 'qued', 'ningun', 'brit', 'carn', 'melon', 'finit', 'finit', 'segun', 'gust', 'aqu', 'present', 'dos', 'vasit', 'sop', 'crem', 'melon', 'crujient', 'jamon', 'encim', 'hilit', 'aceit', 'oliv', 'banderill', 'melon', 'poquit', 'filet', 'jamon']","  (1, 8)	1.0
  (7, 4)	1.0
  (8, 1)	1.0
  (14, 4)	1.0
  (17, 4)	1.0
  (31, 6)	1.0
  (33, 3)	1.0
  (34, 7)	1.0
  (36, 5)	1.0
  (38, 2)	1.0
  (39, 3)	1.0
  (41, 2)	1.0
  (42, 3)	1.0
  (45, 3)	1.0
  (52, 5)	1.0
  (56, 0)	1.0
  (58, 5)	1.0
  (62, 5)	1.0
  (67, 3)	1.0
  (68, 0)	1.0
  (74, 2)	1.0
  (75, 2)	1.0
  (77, 1)	1.0
  (78, 7)	1.0
  (88, 1)	1.0
  (90, 2)	1.0
  (93, 4)	1.0
  (97, 0)	1.0
  (101, 8)	1.0
  (110, 0)	1.0
  (112, 4)	1.0
  (113, 8)	1.0
  (116, 8)	1.0
  (120, 4)	1.0
  (121, 0)	1.0
  (122, 7)	1.0
  (123, 6)	1.0
  (124, 6)	1.0
  (131, 7)	1.0
  (133, 4)	1.0
  (136, 4)	1.0
  (144, 6)	1.0
  (149, 0)	1.0
  (157, 1)	1.0
  (174, 4)	1.0
  (185, 4)	1.0
  (186, 2)	1.0
  (187, 3)	1.0
  (193, 4)	1.0
  (196, 3)	1.0"
4,ESPAGUETTIS🍝 CON CURRY Y VERMOUTH (Veganos)🍝.txt,hoy vamos a preparar espaguetis al curri para ello necesitamos espaguetis tómate frito casero curri aceite vermut rojo sal cebolla y ajo un trozo de puerro pimiento rojo pimiento verde hemos troceados media cebollita la parte Blanca del puerro y un diente de ajo ahora estás tres cosas las vamos a poner a freír en una sartén con un poquito de sal estoy a un poco la cebolla y el ajo y ahora le añadimos el pimiento rojo y verde troceado Ya están fritas las verduritas Así que ahora le vamos a ver qué tal,"['hoy', 'vam', 'prepar', 'espaguetis', 'curri', 'ello', 'necesit', 'espaguetis', 'tomat', 'frit', 'caser', 'curri', 'aceit', 'vermut', 'roj', 'sal', 'ceboll', 'ajo', 'troz', 'puerr', 'pimient', 'roj', 'pimient', 'verd', 'troc', 'medi', 'cebollit', 'part', 'blanc', 'puerr', 'dient', 'ajo', 'ahor', 'tres', 'cos', 'vam', 'pon', 'freir', 'sarten', 'poquit', 'sal', 'ceboll', 'ajo', 'ahor', 'añad', 'pimient', 'roj', 'verd', 'troc', 'frit', 'verdurit', 'asi', 'ahor', 'vam', 'ver', 'tal']","  (1, 11)	1.0
  (3, 4)	1.0
  (4, 3)	1.0
  (7, 4)	1.0
  (9, 5)	1.0
  (11, 3)	1.0
  (14, 8)	1.0
  (15, 9)	1.0
  (16, 2)	1.0
  (17, 1)	1.0
  (19, 7)	1.0
  (20, 6)	1.0
  (21, 8)	1.0
  (22, 6)	1.0
  (23, 12)	1.0
  (24, 10)	1.0
  (29, 7)	1.0
  (31, 1)	1.0
  (32, 0)	1.0
  (35, 11)	1.0
  (40, 9)	1.0
  (41, 2)	1.0
  (42, 1)	1.0
  (43, 0)	1.0
  (45, 6)	1.0
  (46, 8)	1.0
  (47, 12)	1.0
  (48, 10)	1.0
  (49, 5)	1.0
  (52, 0)	1.0
  (53, 11)	1.0"
